popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2,2000,pop,0.602,0.528,1,-7.152,0,0.0556,0.11,0.0,0.157,0.455,133.851,audio_features,6nk3KXaS10RMoDOIitz5T2,spotify:track:6nk3KXaS10RMoDOIitz5T2,https://api.spotify.com/v1/tracks/6nk3KXaS10RMoDOIitz5T2,https://api.spotify.com/v1/audio-analysis/6nk3KXaS10RMoDOIitz5T2,260256,4
1,2000,pop,0.749,0.676,5,-8.413,0,0.356,0.121,1.82e-06,0.103,0.672,107.908,audio_features,1SYPxfcfcuVR8r9BkEavKv,spotify:track:1SYPxfcfcuVR8r9BkEavKv,https://api.spotify.com/v1/tracks/1SYPxfcfcuVR8r9BkEavKv,https://api.spotify.com/v1/audio-analysis/1SYPxfcfcuVR8r9BkEavKv,155556,4
0,2000,pop,0.685,0.816,0,-5.496,1,0.0308,0.0216,2.05e-05,0.439,0.619,118.065,audio_features,6hNHvImgJKAgyuXvux3Bo6,spotify:track:6hNHvImgJKAgyuXvux3Bo6,https://api.spotify.com/v1/tracks/6hNHvImgJKAgyuXvux3Bo6,https://api.spotify.com/v1/audio-analysis/6hNHvImgJKAgyuXvux3Bo6,215627,4
79,2000,pop,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,audio_features,3XgGQ1wjo5khvq2UImjyNF,spotify:track:3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/audio-analysis/3XgGQ1wjo5khvq2UImjyNF,216063,4
77,2000,pop,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,audio_features,3JvrhDOgAt6p7K8mDyZwRd,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/tracks/3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd,204280,4
83,2000,pop,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,audio_features,1R0a2iXumgCiFb7HEZ7gUE,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/tracks/1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/audio-analysis/1R0a2iXumgCiFb7HEZ7gUE,236413,4
80,2000,pop,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,audio_features,4AFsRbaLKRWo3dDtjDFA2V,spotify:track:4AFsRbaLKRWo3dDtjDFA2V,https://api.spotify.com/v1/tracks/4AFsRbaLKRWo3dDtjDFA2V,https://api.spotify.com/v1/audio-analysis/4AFsRbaLKRWo3dDtjDFA2V,379227,3
84,2000,pop,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,audio_features,4h4QlmocP3IuwYEj2j14p8,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/audio-analysis/4h4QlmocP3IuwYEj2j14p8,163026,4
81,2000,pop,0.715,0.47,5,-12.638,0,0.0772,0.353,0.0923,0.104,0.426,89.965,audio_features,5gDWsRxpJ2lZAffh5p7K0w,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,https://api.spotify.com/v1/tracks/5gDWsRxpJ2lZAffh5p7K0w,https://api.spotify.com/v1/audio-analysis/5gDWsRxpJ2lZAffh5p7K0w,111627,4
79,2000,pop,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,audio_features,2vWBUC9djv6BtiGlmKiQaH,spotify:track:2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/tracks/2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/audio-analysis/2vWBUC9djv6BtiGlmKiQaH,212750,3
